Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
226	RiceS60-2-1	Kraken2	Rice	Single	50%	60G	0.999405559	0.978668397	0.989043145	0.988928278
227	RiceS60-2-2	Kraken2	Rice	Single	50%	60G	0.999401495	0.978663761	0.989038837	0.988923922
228	RiceS60-2-3	Kraken2	Rice	Single	50%	60G	0.999404201	0.978673407	0.989044983	0.988930172
229	RiceS60-2-4	Kraken2	Rice	Single	50%	60G	0.999399437	0.978689022	0.989050452	0.988935811
230	RiceS60-2-5	Kraken2	Rice	Single	50%	60G	0.99939924	0.97868048	0.989046088	0.988931354
231	RiceS60-2-1	KMCP	Rice	Single	50%	60G	1	0.747715156	0.873857578	0.855648763
232	RiceS60-2-2	KMCP	Rice	Single	50%	60G	1	0.747646613	0.873823306	0.855603882
233	RiceS60-2-3	KMCP	Rice	Single	50%	60G	1	0.747662613	0.873831307	0.855614359
234	RiceS60-2-4	KMCP	Rice	Single	50%	60G	1	0.747692176	0.873846088	0.855633717
235	RiceS60-2-5	KMCP	Rice	Single	50%	60G	1	0.747812075	0.873906037	0.855712219
236	RiceS60-2-1	KrakenUniq	Rice	Single	50%	60G	0.999104905	0.999998979	0.999551542	0.999551742
237	RiceS60-2-2	KrakenUniq	Rice	Single	50%	60G	0.999103574	0.999998729	0.99955075	0.999550951
238	RiceS60-2-3	KrakenUniq	Rice	Single	50%	60G	0.999103075	0.999998437	0.999550354	0.999550556
239	RiceS60-2-4	KrakenUniq	Rice	Single	50%	60G	0.999102472	0.999998562	0.999550115	0.999550316
240	RiceS60-2-5	KrakenUniq	Rice	Single	50%	60G	0.999104468	0.999998646	0.999551156	0.999551357
241	RiceS60-3-1	Kneaddata	Rice	Single	10%	60G	0.981867961	1	0.998153312	0.990851036
242	RiceS60-3-2	Kneaddata	Rice	Single	10%	60G	0.981826788	1	0.998149041	0.99083007
243	RiceS60-3-3	Kneaddata	Rice	Single	10%	60G	0.981844261	1	0.998150853	0.990838968
244	RiceS60-3-4	Kneaddata	Rice	Single	10%	60G	0.981835123	1	0.998149906	0.990834315
245	RiceS60-3-5	Kneaddata	Rice	Single	10%	60G	0.981831909	1	0.998149572	0.990832678
246	RiceS60-3-1	BWA	Rice	Single	10%	60G	0.964829646	1	0.99635476	0.982100049
